,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
0,7,9,1,42.3,16835400,Петроградский,Петровский проспект,9к2,Спортивная,298367029
1,4,19,1,35.0,11850000,Василеостровский,Морской,,Приморская,275227744
2,2,12,1,35.78,10169034,Выборгский,Светлановское,,Удельная,293271886
3,4,25,1,37.0,10500000,Приморский,Байконурская ,26,Комендантский проспект,297442986
4,2,12,1,36.56,10142475,Выборгский,Светлановское,,Удельная,293271702
5,10,16,1,44.0,10000000,Приморский,Комендантский проспект,17к1,Комендантский проспект,298702714
6,3,16,1,34.5,10153567,Выборгский,Шувалово-Озерки,,Проспект Просвещения,297057902
7,4,8,1,38.5,17500000,Петроградский,Ремесленная ,17,Василеостровская,298588228
8,11,15,1,46.3,11949999,Красногвардейский,переулок Уткин,,,297849170
9,10,13,1,42.78,11850000,Выборгский,Светлановское,,Удельная,299208708
10,6,7,1,65.36,22733515,Василеостровский,11-я Васильевского острова линия,56,Василеостровская,293435902
11,9,13,1,30.8,8000000,Приморский,Планерная ,91к2,Комендантский проспект,297243992
12,4,12,1,42.46,16151784,Выборгский,Сампсониевское,,Выборгская,299465242
13,2,17,1,48.0,14500000,Выборгский,Зеленогорская ,7,Пионерская,299595690
14,11,14,1,34.16,13079999,Красногвардейский,проспект Энергетиков,2,,279351973
15,4,12,1,33.01,11400000,Выборгский,Светлановское,,Удельная,297726567
16,6,11,1,40.46,16960832,Красногвардейский, Стахановцев,1,Новочеркасская,299636558
17,9,16,1,46.6,11350000,Выборгский,проспект Тореза,44к2,Площадь Мужества,299399518
18,3,5,1,35.29,6114825,Московский,Пулковский меридиан,,Международная,299379820
19,12,25,1,40.0,6890000,Красносельский,Ленинский проспект,51,Ленинский проспект,299378118
20,3,23,1,62.1,20989800,Выборгский,аллея Академика Лихачева,7,Площадь Мужества,299451100
21,11,12,1,32.59,5800000,Красносельский,проспект Ветеранов,173к7,,297722654
22,3,8,1,39.3,19118473,Петроградский,Петровский проспект,22к2,Крестовский остров,293496609
23,1,14,1,37.7,5950000,Красносельский,Брестский бульвар,11/36,Ленинский проспект,296856031
24,2,9,1,35.99,11849999,Адмиралтейский, Шкапина,43-45,Балтийская,299481340
25,8,10,1,40.7,13850000,Приморский,Белоостровская ,28,Черная речка,299006414
26,3,12,1,47.4,16225848,Курортный,Приморское шоссе,570Л,,289388509
27,1,13,1,36.3,6100000,Красносельский, Летчика Лихолетова,14к2,Проспект Ветеранов,298375223
28,2,9,1,29.11,7535060,Красносельский, Тамбасова,5,Проспект Ветеранов,298331096
