,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
0,7,9,1,42.3,16835400,Петроградский,Петровский проспект,9к2,Спортивная,298367029,Петровский проспект 9к2,30.26765705,59.96069285
1,4,25,1,37.0,10500000,Приморский,Байконурская ,26,Комендантский проспект,297442986,Байконурская 26,30.2793263,60.0149953
2,10,16,1,44.0,10000000,Приморский,Комендантский проспект,17к1,Комендантский проспект,298702714,Комендантский проспект 17к1,30.25636656619526,60.0118104
3,4,8,1,38.5,17500000,Петроградский,Ремесленная ,17,Василеостровская,298588228,Ремесленная 17,30.213089292604714,55.21163355
4,9,13,1,30.8,8000000,Приморский,Планерная ,91к2,Комендантский проспект,297243992,Планерная 91к2,30.20061515921462,60.03265415
5,2,17,1,48.0,14500000,Выборгский,Зеленогорская ,7,Пионерская,299595690,Зеленогорская 7,45.9145491,51.583766350000005
6,11,14,1,34.16,13079999,Красногвардейский,проспект Энергетиков,2,,279351973,проспект Энергетиков 2,83.63268820100387,53.33813195
7,6,11,1,40.46,16960832,Красногвардейский, Стахановцев,1,Новочеркасская,299636558,Стахановцев 1,33.5067021,44.5629575
8,9,16,1,46.6,11350000,Выборгский,проспект Тореза,44к2,Площадь Мужества,299399518,проспект Тореза 44к2,30.3480861,60.0090517
9,12,25,1,40.0,6890000,Красносельский,Ленинский проспект,51,Ленинский проспект,299378118,Ленинский проспект 51,39.23745387417472,51.651928749999996
10,3,23,1,62.1,20989800,Выборгский,аллея Академика Лихачева,7,Площадь Мужества,299451100,аллея Академика Лихачева 7,30.346896091843032,60.00261465
11,3,8,1,39.3,19118473,Петроградский,Петровский проспект,22к2,Крестовский остров,293496609,Петровский проспект 22к2,30.261877165769224,59.96039365
12,1,14,1,37.7,5950000,Красносельский,Брестский бульвар,11/36,Ленинский проспект,296856031,Брестский бульвар 11/36,30.19511664692162,59.8539443
13,2,9,1,35.99,11849999,Адмиралтейский, Шкапина,43-45,Балтийская,299481340,Шкапина 43-45,30.2959521,59.9087317
14,8,10,1,40.7,13850000,Приморский,Белоостровская ,28,Черная речка,299006414,Белоостровская 28,30.310033001602342,59.9872559
15,3,12,1,47.4,16225848,Курортный,Приморское шоссе,570Л,,289388509,Приморское шоссе 570Л,30.1755998,59.9892131
16,1,13,1,36.3,6100000,Красносельский, Летчика Лихолетова,14к2,Проспект Ветеранов,298375223,Летчика Лихолетова 14к2,30.1047948,59.8416666
17,2,9,1,29.11,7535060,Красносельский, Тамбасова,5,Проспект Ветеранов,298331096,Тамбасова 5,91.68953046810196,53.69713395
18,3,4,1,29.6,4913600,Красносельский,Стрельнинское шоссе,3а,Ленинский проспект,297719432,Стрельнинское шоссе 3а,30.09303844395157,59.743012050000004
19,7,12,1,32.2,7600000,Приморский,Озеро Долгое,15к3,Старая Деревня,272257905,Озеро Долгое 15к3,30.2563391,60.0121678
20,5,25,1,51.4,9406200,Калининский,Светлановский проспект,121к1,Гражданский проспект,292061882,Светлановский проспект 121к1,30.405512478277306,60.0461047
21,3,4,1,45.0,7999999,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,298687821,Красносельское шоссе 22,30.07358835,59.84900105
22,19,24,1,34.5,6234150,Приморский, Ивинская,19к1,Комендантский проспект,297361104,Ивинская 19к1,30.12787427216709,60.03260765
23,2,4,1,31.0,5487000,Красносельский,Стрельнинское шоссе,3а,Проспект Ветеранов,290174351,Стрельнинское шоссе 3а,30.09303844395157,59.743012050000004
24,9,19,1,39.7,6790000,Василеостровский,бульвар Александра Грина,1,Приморская,298895332,бульвар Александра Грина 1,30.2049943,59.9369829
25,2,8,1,21.88,11933352,Петроградский,Пионерская ,53,Чкаловская,298529949,Пионерская 53,127.99603210000001,49.614011149999996
26,4,20,1,36.0,9890000,Красносельский, Катерников,7,Проспект Ветеранов,298574187,Катерников 7,30.1553947,59.8510945
27,2,8,1,39.5,17241750,Петроградский,Петровский проспект,28к2,Крестовский остров,298461605,Петровский проспект 28к2,30.2531546,59.9611345
28,4,25,1,50.4,10600000,Московский,Витебский проспект,97к1,Купчино,296238884,Витебский проспект 97к1,30.370525735,59.831519799999995
29,5,9,1,29.0,8500000,Приморский,Богатырский проспект,3К1,Пионерская,297427106,Богатырский проспект 3К1,30.29431090779631,60.0019579
30,5,11,1,41.7,9690000,Московский,Детский переулок,2,Московские ворота,277269506,Детский переулок 2,30.316789196328735,59.8937313
31,1,8,1,76.5,22950000,Петроградский,Петровский проспект,24к2,,296753880,Петровский проспект 24к2,30.25784072226221,59.9602408
32,7,16,1,40.6,19500000,Московский,Варшавская ,6к2,Электросила,299467095,Варшавская 6к2,30.3164104,59.8802729
33,7,7,1,58.7,28500000,Адмиралтейский,Звенигородская ,7к2,Звенигородская,268560184,Звенигородская 7к2,30.3406428,59.9177318
34,4,19,1,42.0,16700000,Адмиралтейский,Московский проспект,73к5,Фрунзенская,298331683,Московский проспект 73к5,30.3129543,59.9055198
35,5,5,1,42.0,8450000,Пушкинский, Образцовая,5к1,,297617210,Образцовая 5к1,30.37073809777705,59.7523833
36,9,20,1,34.59,10189999,Василеостровский, Челюскина,8,,279507019,Челюскина 8,77.21582407614503,43.313531100000006
37,4,10,1,41.3,16000000,Московский,Московский проспект,72к2,Фрунзенская,299192913,Московский проспект 72к2,30.3202041,59.906675
