,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
0,7,9,1,42.3,16835400,Петроградский,Петровский проспект,9к2,Спортивная,298367029,Петровский проспект 9к2,30.266533,59.960994
1,4,25,1,37.0,10500000,Приморский,Байконурская ,26,Комендантский проспект,297442986,Байконурская 26,30.279334,60.014603
2,10,16,1,44.0,10000000,Приморский,Комендантский проспект,17к1,Комендантский проспект,298702714,Комендантский проспект 17к1,30.25701,60.011329
3,4,8,1,38.5,17500000,Петроградский,Ремесленная ,17,Василеостровская,298588228,Ремесленная 17,30.26868,59.957305
4,6,7,1,65.36,22733515,Василеостровский,11-я Васильевского острова линия,56,Василеостровская,293435902,11-я Васильевского острова линия 56,30.269407,59.944301
5,9,13,1,30.8,8000000,Приморский,Планерная ,91к2,Комендантский проспект,297243992,Планерная 91к2,30.200336,60.03274
6,2,17,1,48.0,14500000,Выборгский,Зеленогорская ,7,Пионерская,299595690,Зеленогорская 7,30.323387,60.001883
7,11,14,1,34.16,13079999,Красногвардейский,проспект Энергетиков,2,,279351973,проспект Энергетиков 2,30.434311,59.931134
8,6,11,1,40.46,16960832,Красногвардейский, Стахановцев,1,Новочеркасская,299636558,Стахановцев 1,30.405098,59.929835
9,9,16,1,46.6,11350000,Выборгский,проспект Тореза,44к2,Площадь Мужества,299399518,проспект Тореза 44к2,30.347165,60.008495
10,12,25,1,40.0,6890000,Красносельский,Ленинский проспект,51,Ленинский проспект,299378118,Ленинский проспект 51,30.167305,59.862569
11,3,23,1,62.1,20989800,Выборгский,аллея Академика Лихачева,7,Площадь Мужества,299451100,аллея Академика Лихачева 7,30.346546,60.002494
12,11,12,1,32.59,5800000,Красносельский,проспект Ветеранов,173к7,,297722654,проспект Ветеранов 173к7,30.110648,59.843928
13,3,8,1,39.3,19118473,Петроградский,Петровский проспект,22к2,Крестовский остров,293496609,Петровский проспект 22к2,30.261897,59.960368
14,1,14,1,37.7,5950000,Красносельский,Брестский бульвар,11/36,Ленинский проспект,296856031,Брестский бульвар 11/36,30.196671,59.853799
15,2,9,1,35.99,11849999,Адмиралтейский, Шкапина,43-45,Балтийская,299481340,Шкапина 43-45,30.288622,59.903823
16,8,10,1,40.7,13850000,Приморский,Белоостровская ,28,Черная речка,299006414,Белоостровская 28,30.310128,59.987226
17,3,12,1,47.4,16225848,Курортный,Приморское шоссе,570Л,,289388509,Приморское шоссе 570Л,29.662541,60.191798
18,1,13,1,36.3,6100000,Красносельский, Летчика Лихолетова,14к2,Проспект Ветеранов,298375223,Летчика Лихолетова 14к2,30.105312,59.84329
