author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298367029/;Санкт-Петербург;sale;flat;7;9;1;42.3;16835400;Петроградский;Петровский проспект;9к2;Спортивная;Neva Haus
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/275227744/;Санкт-Петербург;sale;flat;4;19;1;35.0;11850000;Василеостровский;Морской;;Приморская;GloraX Premium Василеостровский
Euroinvest Development;developer;https://spb.cian.ru/sale/flat/293271886/;Санкт-Петербург;sale;flat;2;12;1;35.78;10169034;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
ID 13770423;homeowner;https://spb.cian.ru/sale/flat/297442986/;Санкт-Петербург;sale;flat;4;25;1;37.0;10500000;Приморский;Байконурская ;26;Комендантский проспект;
Euroinvest Development;developer;https://spb.cian.ru/sale/flat/293271702/;Санкт-Петербург;sale;flat;2;12;1;36.56;10142475;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
Илья Мерчук;realtor;https://spb.cian.ru/sale/flat/298702714/;Санкт-Петербург;sale;flat;10;16;1;44.0;10000000;Приморский;Комендантский проспект;17к1;Комендантский проспект;
RBI;developer;https://spb.cian.ru/sale/flat/297057902/;Санкт-Петербург;sale;flat;3;16;1;34.5;10153567;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/298588228/;Санкт-Петербург;sale;flat;4;8;1;38.5;17500000;Петроградский;Ремесленная ;17;Василеостровская;
GloraX;developer;https://spb.cian.ru/sale/flat/297849170/;Санкт-Петербург;sale;flat;11;15;1;46.3;11949999;Красногвардейский;переулок Уткин;;;Апарт-отель GloraX Заневский
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/299208708/;Санкт-Петербург;sale;flat;10;13;1;42.78;11850000;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
Sun Development;developer;https://spb.cian.ru/sale/flat/293435902/;Санкт-Петербург;sale;flat;6;7;1;65.36;22733515;Василеостровский;11-я Васильевского острова линия;56;Василеостровская;Клубный дом Monodom Line
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/297243992/;Санкт-Петербург;sale;flat;9;13;1;30.8;8000000;Приморский;Планерная ;91к2;Комендантский проспект;New Time
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299465242/;Санкт-Петербург;sale;flat;4;12;1;42.46;16151784;Выборгский;Сампсониевское;;Выборгская;Сампсониевский 32
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/299595690/;Санкт-Петербург;sale;flat;2;17;1;48.0;14500000;Выборгский;Зеленогорская ;7;Пионерская;Светлана
GloraX;developer;https://spb.cian.ru/sale/flat/279351973/;Санкт-Петербург;sale;flat;11;14;1;34.16;13079999;Красногвардейский;проспект Энергетиков;2;;GloraX Заневский
ХочуКвартиру;real_estate_agent;https://spb.cian.ru/sale/flat/297726567/;Санкт-Петербург;sale;flat;4;12;1;33.01;11400000;Выборгский;Светлановское;;Удельная;Айди Светлановский ЖК
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299636558/;Санкт-Петербург;sale;flat;6;11;1;40.46;16960832;Красногвардейский; Стахановцев;1;Новочеркасская;Малоохтинский, 68
ID 113882570;homeowner;https://spb.cian.ru/sale/flat/299399518/;Санкт-Петербург;sale;flat;9;16;1;46.6;11350000;Выборгский;проспект Тореза;44к2;Площадь Мужества;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/299379820/;Санкт-Петербург;sale;flat;3;5;1;35.29;6114825;Московский;Пулковский меридиан;;Международная;Плюс Пулковский ЖК
ID 86116002;unknown;https://spb.cian.ru/sale/flat/299378118/;Санкт-Петербург;sale;flat;12;25;1;40.0;6890000;Красносельский;Ленинский проспект;51;Ленинский проспект;
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299451100/;Санкт-Петербург;sale;flat;3;23;1;62.1;20989800;Выборгский;аллея Академика Лихачева;7;Площадь Мужества;Институтский, 16
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/297722654/;Санкт-Петербург;sale;flat;11;12;1;32.59;5800000;Красносельский;проспект Ветеранов;173к7;;Солнечный город
РСТИ;developer;https://spb.cian.ru/sale/flat/293496609/;Санкт-Петербург;sale;flat;3;8;1;39.3;19118473;Петроградский;Петровский проспект;22к2;Крестовский остров;Familia
Северо-Западный Региональный Центр Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/296856031/;Санкт-Петербург;sale;flat;1;14;1;37.7;5950000;Красносельский;Брестский бульвар;11/36;Ленинский проспект;
GloraX;developer;https://spb.cian.ru/sale/flat/299481340/;Санкт-Петербург;sale;flat;2;9;1;35.99;11849999;Адмиралтейский; Шкапина;43-45;Балтийская;GloraX Балтийская
Вам к нам;real_estate_agent;https://spb.cian.ru/sale/flat/299006414/;Санкт-Петербург;sale;flat;8;10;1;40.7;13850000;Приморский;Белоостровская ;28;Черная речка;Domino
Сенатор;developer;https://spb.cian.ru/sale/flat/289388509/;Санкт-Петербург;sale;flat;3;12;1;47.4;16225848;Курортный;Приморское шоссе;570Л;;МФК Морская ривьера
Северо-Западный Региональный Центр Недвижимости;real_estate_agent;https://spb.cian.ru/sale/flat/298375223/;Санкт-Петербург;sale;flat;1;13;1;36.3;6100000;Красносельский; Летчика Лихолетова;14к2;Проспект Ветеранов;Солнечный город
РСТИ;developer;https://spb.cian.ru/sale/flat/298331096/;Санкт-Петербург;sale;flat;2;9;1;29.11;7535060;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
ID 104795526;real_estate_agent;https://spb.cian.ru/sale/flat/297719432/;Санкт-Петербург;sale;flat;3;4;1;29.6;4913600;Красносельский;Стрельнинское шоссе;3а;Ленинский проспект;
RBI;developer;https://spb.cian.ru/sale/flat/295197899/;Санкт-Петербург;sale;flat;15;16;1;46.0;14150000;Московский;Московский проспект;103к6Й;Московские ворота;Апарт-отель ARTSTUDIO М103
SaFri;real_estate_agent;https://spb.cian.ru/sale/flat/272257905/;Санкт-Петербург;sale;flat;7;12;1;32.2;7600000;Приморский;Озеро Долгое;15к3;Старая Деревня;ArtLine
Рикэл;developer;https://spb.cian.ru/sale/flat/292061882/;Санкт-Петербург;sale;flat;5;25;1;51.4;9406200;Калининский;Светлановский проспект;121к1;Гражданский проспект;Эврика
Суслов недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/298687821/;Санкт-Петербург;sale;flat;3;4;1;45.0;7999999;Петродворцовый;Красносельское шоссе;22;Ленинский проспект;Veren Village Стрельна
