author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/299493945/;Санкт-Петербург;sale;flat;2;4;1;22.28;4500047;Петродворцовый;;;Автово;Дворцовый фасад ЖК
СМАРТ-МЕТРЫ ДЕВЕЛОПМЕНТ;real_estate_agent;https://spb.cian.ru/sale/flat/277896720/;Санкт-Петербург;sale;flat;2;8;1;32.9;5990000;Василеостровский;11-я Васильевского острова линия;20;Василеостровская;
GloraX;developer;https://spb.cian.ru/sale/flat/297849093/;Санкт-Петербург;sale;flat;11;15;-1;21.39;6389999;Красногвардейский;переулок Уткин;;;Апарт-отель GloraX Заневский
Orange Life;real_estate_agent;https://spb.cian.ru/sale/flat/297045565/;Санкт-Петербург;sale;flat;5;5;1;32.1;6965700;Василеостровский;4-я Васильевского острова линия;51;Спортивная;
GloraX;developer;https://spb.cian.ru/sale/flat/279352025/;Санкт-Петербург;sale;flat;13;14;1;25.85;9939999;Красногвардейский;проспект Энергетиков;2;;GloraX Заневский
Orange Life;real_estate_agent;https://spb.cian.ru/sale/flat/295938212/;Санкт-Петербург;sale;flat;4;5;-1;20.9;7294933;Василеостровский;7-я Васильевского острова линия;62к2;Василеостровская;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298292426/;Санкт-Петербург;sale;flat;8;12;1;24.56;6000179;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
Orange Life;real_estate_agent;https://spb.cian.ru/sale/flat/297045544/;Санкт-Петербург;sale;flat;5;5;1;20.0;5825500;Василеостровский;4-я Васильевского острова линия;51;Спортивная;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/295852661/;Санкт-Петербург;sale;flat;3;5;1;23.53;4151706;Московский;Пулковский меридиан;;Купчино;Плюс Пулковский ЖК
Orange Life;real_estate_agent;https://spb.cian.ru/sale/flat/293687544/;Санкт-Петербург;sale;flat;1;5;-1;25.3;7099344;Василеостровский;7-я Васильевского острова линия;62к2;Василеостровская;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/295852663/;Санкт-Петербург;sale;flat;4;5;1;23.23;4155049;Московский;Пулковский меридиан;;Звездная;Плюс Пулковский ЖК
ХочуКвартиру;real_estate_agent;https://spb.cian.ru/sale/flat/297725660/;Санкт-Петербург;sale;flat;4;12;1;27.53;8800000;Выборгский;Светлановское;;Удельная;Айди Светлановский ЖК
