iter	MAE
0	6420294.022
1	5952627.152
2	5533200.393
3	5162298.702
4	4870497.834
5	4568645.498
6	4327503.952
7	4100331.352
8	3894595.85
9	3721765.047
10	3567306.248
11	3445323.837
12	3321469.29
13	3225607.957
14	3145804.17
15	3076062.84
16	3011598.351
17	2933236.211
18	2856977.678
19	2811683.194
20	2768552.927
21	2717484.498
22	2670372.743
23	2638312.318
24	2602580.363
25	2576097.248
26	2564099.156
27	2536557.283
28	2518445.514
29	2488398.373
30	2464516.734
31	2446423.569
32	2423754.655
33	2406049.411
34	2398177.047
35	2378814.284
36	2367098.613
37	2352388.728
38	2342091.493
39	2323274.762
40	2313696.835
41	2302143.983
42	2292055.698
43	2270692.944
44	2256606.805
45	2239058.354
46	2229764.856
47	2219110.664
48	2210751.823
49	2200447.164
50	2194468.614
51	2188472.921
52	2177340.738
53	2167945.972
54	2153438.738
55	2145666.068
56	2140190.504
57	2132765.229
58	2122984.249
59	2112451.551
60	2106011.2
61	2100572.414
62	2093727.058
63	2086930.694
64	2078658.317
65	2070035.866
66	2064030.673
67	2058663.789
68	2055354.311
69	2052056.833
70	2042692.057
71	2036242.267
72	2027355.466
73	2018293.635
74	2014145.434
75	2008336.961
76	2000638.031
77	1994822.172
78	1984769.337
79	1978736.715
80	1975651.474
81	1970096.408
82	1964041.353
83	1958862.926
84	1954744.373
85	1951532.004
86	1948717.897
87	1942647.785
88	1939185.58
89	1933114.668
90	1929450.57
91	1921755.078
92	1919011.26
93	1913385.155
94	1909111.491
95	1904513.951
96	1900349.659
97	1896281.644
98	1890353.215
99	1885113.376
100	1880504.024
101	1875889.331
102	1871854.415
103	1869343.415
104	1865888.252
105	1864316.739
106	1860691.436
107	1857669.502
108	1855515.621
109	1850560.592
110	1846943.107
111	1844204.056
112	1838548.285
113	1834513.356
114	1829462.617
115	1827800.164
116	1825613.035
117	1822302.453
118	1817727.461
119	1814904.776
120	1807978.481
121	1805818.852
122	1802137.5
123	1796358.21
124	1791038.488
125	1785244.724
126	1781309.205
127	1779905.042
128	1777474.588
129	1775170.357
130	1773273.812
131	1768867.32
132	1765185.606
133	1760185.445
134	1755220.592
135	1750496.305
136	1749305.811
137	1743466.434
138	1738852.425
139	1732971.061
140	1729845.08
141	1725205.227
142	1721541.957
143	1719955.796
144	1716319.986
145	1714141.699
146	1708798.499
147	1707068.42
148	1704075.928
149	1700629.266
150	1693720.397
151	1691312.713
152	1689231.832
153	1688303.563
154	1683653.569
155	1679403.724
156	1678955.615
157	1676307.446
158	1674650.007
159	1670793.278
160	1670129.556
161	1668180.051
162	1665100.668
163	1663506.559
164	1658081.297
165	1655980.858
166	1654246.877
167	1652134.971
168	1650414.578
169	1648309.713
170	1646655.964
171	1641831.762
172	1641233.866
173	1638842.814
174	1638248.612
175	1636316.652
176	1633987.67
177	1631148.358
178	1629678.529
179	1624347.987
180	1620231.823
181	1618115.181
182	1615259.62
183	1611900.518
184	1609794.987
185	1608833.497
186	1607254.988
187	1604349.848
188	1603380.444
189	1602157.067
190	1599955.581
191	1598929.441
192	1596678.032
193	1592943.161
194	1591550.712
195	1589007.66
196	1588098.011
197	1584648.215
198	1583026.072
199	1581435.495
200	1578750.598
201	1577136.083
202	1575951.784
203	1573461.099
204	1570704.291
205	1570145.11
206	1569269.267
207	1568006.616
208	1566130.553
209	1564100.681
210	1562860.217
211	1560374.773
212	1558930.673
213	1554497.502
214	1551370.875
215	1548701.429
216	1545890.608
217	1542187.58
218	1539540.778
219	1538866.615
220	1536745.459
221	1535458.715
222	1534506.294
223	1532087.433
224	1530439.854
225	1529838.306
226	1529473.081
227	1527480.94
228	1526253.527
229	1524617.671
230	1523495.85
231	1521352.626
232	1520445.981
233	1520140.243
234	1516711.194
235	1514399.806
236	1513141.943
237	1512570.236
238	1509956.257
239	1509651.461
240	1508123.632
241	1506031.352
242	1504416.661
243	1503850.673
244	1502437.824
245	1501751.341
246	1500733.054
247	1500034.862
248	1497882.306
249	1495216.392
250	1491190.54
251	1489760.243
252	1488876.448
253	1487109.187
254	1483967.945
255	1482746.987
256	1479538.43
257	1477774.946
258	1476166.498
259	1473384.917
260	1472343.919
261	1470493.259
262	1466641.018
263	1465971.319
264	1464989.864
265	1463706.567
266	1463239.436
267	1462238.959
268	1461359.17
269	1460025.178
270	1457795.746
271	1456637.523
272	1455061.287
273	1454131.886
274	1453266.288
275	1452674.45
276	1451035.369
277	1450801.692
278	1448262.314
279	1446635.414
280	1446150.628
281	1444524.839
282	1440967.336
283	1440146.425
284	1439433.986
285	1438698.354
286	1437380.574
287	1435832.893
288	1434447.811
289	1433491.697
290	1431271.033
291	1429807.255
292	1426732.304
293	1425889.888
294	1425500.84
295	1425143.259
296	1424220.891
297	1424064.433
298	1422076.918
299	1421106.018
300	1420781.768
301	1420281.585
302	1419068.55
303	1417658.216
304	1415694.979
305	1415301.971
306	1414498.107
307	1411125.9
308	1409912.038
309	1408266.285
310	1407128.257
311	1405002.59
312	1403873.332
313	1402739.033
314	1400459.512
315	1399979.849
316	1398610.208
317	1396475.868
318	1393962.253
319	1392316.881
320	1391569.034
321	1390229.744
322	1389206.775
323	1385292.712
324	1383342.716
325	1382197.946
326	1381493.417
327	1379822.022
328	1377311.443
329	1376792.721
330	1375993.466
331	1374435.326
332	1373958.136
333	1373800.629
334	1373568.981
335	1372800.837
336	1371327.024
337	1371084.332
338	1368853.598
339	1368256.479
340	1367551.544
341	1366300.043
342	1365000.594
343	1363568.11
344	1362425.897
345	1360651.474
346	1360120.782
347	1359252.261
348	1357638.728
349	1357084.879
350	1354417.086
351	1352770.354
352	1352453.585
353	1351766.209
354	1351391.372
355	1349648.756
356	1347826.554
357	1347001.06
358	1346729.631
359	1346513.863
360	1344195.942
361	1343595.801
362	1342891.391
363	1341702.745
364	1340224.732
365	1339436.222
366	1339006.93
367	1337947.636
368	1337648.731
369	1337451.039
370	1337165.595
371	1336474.771
372	1335732.301
373	1334505.741
374	1333401.663
375	1332926.005
376	1332255.602
377	1331168.575
378	1330051.887
379	1329301.524
380	1328413.253
381	1326868.868
382	1325790.233
383	1324414.952
384	1322664.312
385	1321228.227
386	1320312.356
387	1319919.988
388	1318998.447
389	1318390.947
390	1317229.622
391	1316998.606
392	1316250.926
393	1315691.777
394	1315076.669
395	1314646.542
396	1314125.97
397	1314030.923
398	1313053.746
399	1312221.08
400	1311045.994
401	1310874.832
402	1310345.81
403	1309887.309
404	1309323.29
405	1308312.852
406	1307813.713
407	1307320.981
408	1305741.323
409	1305304.106
410	1304939.134
411	1304710.883
412	1304030.62
413	1303751.594
414	1302502.919
415	1301183.535
416	1300607.369
417	1300446.708
418	1299841.929
419	1299052.725
420	1298100.557
421	1295981.129
422	1295240.988
423	1294747.506
424	1293461.321
425	1292731.833
426	1292144.57
427	1291223.687
428	1289718.818
429	1289121.359
430	1288470.081
431	1287741.228
432	1287242.986
433	1286959.288
434	1286208.179
435	1285682.976
436	1284285.444
437	1283978.007
438	1283733.695
439	1282912.512
440	1282577.246
441	1281256.254
442	1279239.064
443	1278914.189
444	1277448.657
445	1275815.655
446	1275573.258
447	1275314.789
448	1273778.551
449	1271975.319
450	1270462.581
451	1269505.964
452	1268952.453
453	1268558.318
454	1267692.421
455	1267275.999
456	1267090.883
457	1265831.412
458	1265573.461
459	1264964.113
460	1263538.512
461	1262780.772
462	1262460.721
463	1261933.232
464	1260085.327
465	1259650.292
466	1258218.763
467	1257426.267
468	1257112.186
469	1255525.822
470	1255251.957
471	1254782.711
472	1253188.683
473	1252543.382
474	1251284.411
475	1250512.989
476	1250078.376
477	1249368.877
478	1248730.495
479	1248112.987
480	1247710.937
481	1247319.967
482	1246184.051
483	1244602.807
484	1242777.815
485	1241305.442
486	1240916.003
487	1239130.857
488	1238688.129
489	1237230.207
490	1236597.666
491	1235733.719
492	1235471.981
493	1234714.725
494	1234490.902
495	1232274.086
496	1231122.164
497	1230697.8
498	1229366.81
499	1228761.06
500	1227688.599
501	1226811.36
502	1226438.109
503	1225537.521
504	1224483.795
505	1224259.906
506	1223348.707
507	1222820.874
508	1222634.333
509	1222488.065
510	1221459.383
511	1221028.598
512	1220537.278
513	1219821.601
514	1219319.878
515	1218982.442
516	1218758.586
517	1217722.898
518	1216871.647
519	1216182.142
520	1215790.142
521	1214890.782
522	1214333.883
523	1213948.777
524	1213784.767
525	1213622.652
526	1212426.08
527	1212009.796
528	1211747.406
529	1211344.857
530	1210105.031
531	1209874.963
532	1208939.461
533	1207926.21
534	1207487.019
535	1206935.875
536	1205638.658
537	1204226.852
538	1203823.277
539	1203129.734
540	1201623.433
541	1200662.16
542	1198088.674
543	1196572.791
544	1195832.779
545	1195463.735
546	1194717.528
547	1194146.805
548	1193614.78
549	1191527.072
550	1189435.055
551	1188552.355
552	1188067.04
553	1187649.046
554	1186084.408
555	1185884.6
556	1185017.219
557	1184488.19
558	1183657.512
559	1183193.89
560	1182643.047
561	1182337.759
562	1181873.672
563	1181537.364
564	1180987.282
565	1179964.904
566	1179808.926
567	1179361.938
568	1178849.845
569	1178391.789
570	1176679.14
571	1176316.597
572	1174714.726
573	1174051.271
574	1173334.085
575	1172423.26
576	1171404.546
577	1170215.428
578	1169896.935
579	1169104.926
580	1168407.098
581	1168127.104
582	1166992.847
583	1166503.159
584	1165550.171
585	1165412.151
586	1164580.469
587	1163666.221
588	1162911.042
589	1162095.866
590	1161602.876
591	1161309.054
592	1160874.561
593	1160452.465
594	1159993.852
595	1159622.451
596	1159284.459
597	1158739.476
598	1157931.052
599	1156851.189
600	1156533.603
601	1155884.417
602	1155364.664
603	1155263.713
604	1155088.772
605	1153871.629
606	1153603.953
607	1152990.492
608	1152315.17
609	1151867.777
610	1151381.981
611	1151146.499
612	1150908.623
613	1150788.242
614	1150478.385
615	1149968.395
616	1149814.12
617	1149364.273
618	1149060.154
619	1148956.151
620	1147536.452
621	1147155.738
622	1146486.542
623	1145663.504
624	1145262.882
625	1144684.632
626	1144286.939
627	1144107.591
628	1143487.178
629	1142196.952
630	1141870.297
631	1141743.146
632	1141166.079
633	1141008.832
634	1140417.617
635	1140193.659
636	1139718.807
637	1138771.528
638	1138167.486
639	1137671.127
640	1137017.632
641	1136887.249
642	1136335.189
643	1135716.155
644	1135243.376
645	1135111.233
646	1134742.49
647	1134181.774
648	1133257.42
649	1132897.546
650	1132778.4
651	1131652.963
652	1131250.823
653	1130641.662
654	1129506.371
655	1129214.586
656	1128764.724
657	1128536.586
658	1128395.268
659	1127936.132
660	1127540.277
661	1127414.885
662	1126518.505
663	1126394.026
664	1126204.326
665	1125345.374
666	1124942.881
667	1124604.167
668	1124307.128
669	1123436.221
670	1122017.172
671	1121589.916
672	1121483.859
673	1120948.696
674	1119742.551
675	1119023.695
676	1118701.695
677	1118027.466
678	1117390.153
679	1117079.367
680	1116909.478
681	1116750.449
682	1116378.915
683	1115970.727
684	1113980.097
685	1113380.404
686	1112898.182
687	1112603.382
688	1112478.22
689	1112337.384
690	1110300.092
691	1108785.152
692	1108602.254
693	1107347.991
694	1107147.123
695	1106771.234
696	1106749.741
697	1106387.691
698	1105896.794
699	1105307.176
700	1104983.428
701	1104872.523
702	1104053.717
703	1102469.555
704	1102312.512
705	1102030.254
706	1101231.121
707	1100892.888
708	1100750.597
709	1100548.123
710	1100273.598
711	1099463.033
712	1099320.351
713	1098138.191
714	1098065.791
715	1097889.084
716	1097531.323
717	1097376.168
718	1096992.187
719	1096361.99
720	1096018.17
721	1095794.801
722	1095588.468
723	1095288.953
724	1094613.791
725	1093434.434
726	1092883.92
727	1091518.544
728	1091162.247
729	1090819.126
730	1090644.757
731	1090350.572
732	1090100.225
733	1089914.636
734	1089762.841
735	1089528.589
736	1088821.171
737	1088726.184
738	1088596.032
739	1088190.18
740	1087599.984
741	1087015.838
742	1086770.382
743	1086194.466
744	1085871.156
745	1084949.529
746	1084786.197
747	1084599.771
748	1084251.176
749	1084119.064
750	1084035.792
751	1083596.193
752	1083301.779
753	1083210.355
754	1081661.026
755	1081441.969
756	1081279.098
757	1081031.02
758	1080473.962
759	1080302.284
760	1079630.493
761	1079212.405
762	1078997.641
763	1078442.881
764	1077310.138
765	1077058.649
766	1076951.221
767	1076790.935
768	1076607.516
769	1075877.278
770	1075213.883
771	1075067.127
772	1074802.179
773	1073856.99
774	1073728.779
775	1073523.296
776	1073222.045
777	1073083.433
778	1072942.23
779	1072306.529
780	1072173.3
781	1072120.012
782	1072046.667
783	1071465.297
784	1071247.539
785	1070947.964
786	1069926.193
787	1068375.655
788	1068114.963
789	1067892.337
790	1067124.73
791	1067054.465
792	1066427.439
793	1066175.777
794	1065787.18
795	1064820.351
796	1064465.358
797	1064099.365
798	1063369.56
799	1062642.638
800	1062535.948
801	1062189.68
802	1061950.122
803	1061350.459
804	1059733.732
805	1059578.395
806	1058905.725
807	1058636.411
808	1057872.549
809	1057518.03
810	1057029.683
811	1056895.924
812	1056704.188
813	1056096.977
814	1055984.657
815	1055516.205
816	1055170.846
