floor,floors_count,rooms_count,total_meters,price,distance_to_subway,distance_to_center,district_rank
7,9,1,42.3,16835400,0.0005839236475528783,3372.3078697533624,1
4,25,1,37.0,10500000,0.0007462524528435942,8368.926394051688,9
10,16,1,44.0,10000000,0.0033216458770290434,8389.206552634869,9
4,8,1,38.5,17500000,0.0005772743873212993,3023.4265685710643,1
6,7,1,65.36,22733515,0.001873124201333252,2427.235424631879,4
9,13,1,30.8,8000000,0.00023807546229222617,11951.860919378407,9
2,17,1,48.0,14500000,0.0006700946640673417,6772.914947849459,6
11,14,1,34.16,13079999,0.0,6908.371857739092,10
6,11,1,40.46,16960832,0.002691499980391655,5337.23626028407,10
9,16,1,46.6,11350000,0.0006843135662997012,7729.2347182125595,6
12,25,1,40.0,6890000,0.0,11957.448964928235,13
3,23,1,62.1,20989800,0.0008606429687940384,7074.693753651223,6
11,12,1,32.59,5800000,0.0,15664.476922351456,13
3,8,1,39.3,19118473,0.0007796067408117638,3531.0111824615014,1
1,14,1,37.7,5950000,0.00024798281572122,11709.002197101581,13
2,9,1,35.99,11849999,0.00024131935475818608,4386.753252758496,3
8,10,1,40.7,13850000,0.001809267428977409,5113.850529863661,9
3,12,1,47.4,16225848,0.0,45698.99600438173,5
1,13,1,36.3,6100000,0.0,15929.967683458499,13
2,9,1,29.11,7535060,0.0,14219.929287195602,13
3,4,1,29.6,4913600,0.0,22243.61134449418,13
15,16,1,46.0,14150000,0.0033362017085776813,5661.396611433766,7
7,12,1,32.2,7600000,0.0,27725.03866469646,9
5,25,1,51.4,9406200,0.0006845045686329397,12774.579788042094,8
3,4,1,45.0,7999999,0.0,20631.09824345016,11
19,24,1,34.5,6234150,0.0,14467.660341501061,9
2,4,1,31.0,5487000,0.0,22243.61134449418,13
9,19,1,39.7,6790000,0.0004677290840572663,6085.950014741629,4
2,8,1,21.88,11933352,0.0027167605928378087,2612.434051709723,1
4,20,1,36.0,9890000,0.0,13361.081670282136,13
2,8,1,39.5,17241750,0.000797014911166779,4033.544608364312,1
4,25,1,50.4,10600000,0.003018842993614396,12664.203788008075,7
5,9,1,29.0,8500000,0.0062919562907893635,6790.119561550809,9
5,11,1,41.7,9690000,0.00508351860295716,5305.729883300576,7
1,8,1,76.5,22950000,0.0,3740.56702629315,1
7,16,1,40.6,19500000,0.005171888598262028,6907.855774663187,7
7,7,1,58.7,28500000,0.0017169848161366443,3074.1055689845875,3
4,19,1,42.0,16700000,0.003721539352521512,4141.1852445752775,3
3,20,1,70.35,19000000,0.0010181606224547533,4602.714183081267,9
5,5,1,42.0,8450000,0.0,21298.747774048392,18
9,20,1,34.59,10189999,0.0,6973.704459245435,4
4,10,1,41.3,16000000,0.005233786065658821,3896.0540483730765,7
4,23,1,32.62,6207564,0.0,13805.204170430852,9
4,4,1,40.3,5964400,0.0,22243.61134449418,13
3,8,1,40.5,20456954,0.00041271741759290497,3259.869239767524,1
6,23,1,38.7,6990000,0.0,5413.5533403997,18
22,27,1,33.77,7799904,0.0,16176.821458851662,6
6,9,1,36.6,9000000,0.0008376418098023872,5349.559677474297,4
2,20,1,33.5,10990000,0.00029487628744789764,11463.78174720624,9
6,6,1,37.2,10000000,0.001523980986249966,2405.390166010839,4
3,9,1,26.91,10497494,0.0012671506381348664,2431.4119256350064,4
6,13,1,34.56,8100000,0.0004009465101520896,6316.559801741852,4
7,9,1,43.77,16990000,0.0008667257292285963,2749.465268207675,1
4,7,1,36.0,9999000,0.0014314446856505561,3135.9411793928834,3
11,12,1,39.6,15444000,0.0011961205477479906,5006.838569585699,9
4,8,1,37.6,12100000,0.00027879954943364245,6253.132617913079,10
2,10,1,33.18,6400000,0.0,15577.340142860785,13
11,24,1,36.2,5980000,0.00024609071631469405,13791.994911995893,15
3,9,1,64.44,29809944,0.00046737261030091064,2750.7766748482773,4
11,29,1,47.7,11300000,0.0008501093587263661,12434.760083044303,6
3,13,1,36.2,7550000,0.0002481429031067954,11911.15771542143,9
6,10,1,37.12,15122688,0.0023737459827687245,5037.781360137036,9
5,8,1,46.9,17300000,0.0007796067408117638,3531.0111824615014,1
1,5,1,36.4,6150000,0.0,13564.511800426237,9
2,15,1,37.42,8085854,0.002088270244195842,6835.296791873763,10
2,26,1,38.6,8600000,0.001554168172659602,12398.013009537184,14
3,11,1,38.07,13478684,0.0008598427095825661,7328.485835206947,7
3,9,1,39.1,16200000,0.0011254875375892395,4304.738370012683,6
7,9,1,42.7,16789640,0.0005839236475528783,3372.3078697533624,1
5,16,1,36.8,12320000,0.0012482916273173217,7553.411450717155,9
6,10,1,33.3,5550000,0.00042182653481261437,9519.239859600222,9
4,10,1,41.1,8490000,0.000786367794848603,5663.78924403207,15
9,11,1,37.7,8750000,0.0008904352708223,10870.54286151478,17
6,9,1,30.2,8700000,0.003753105396237033,11705.1684329487,17
3,10,1,41.98,20150400,0.005233786065658821,3896.0540483730765,7
6,7,1,39.9,16799000,0.0005192487310450389,6331.38029142412,6
8,12,1,38.06,10995534,0.0002443202332049146,11930.967202371161,9
9,10,1,33.5,9100000,0.0033417787143351736,7915.780196655785,9
10,24,1,41.5,14550232,0.001232919597549855,9403.275120985547,15
1,9,1,31.7,5600000,0.0,15598.926391714918,13
1,5,1,51.5,13400000,0.0,26306.948337262696,5
2,13,1,33.7,9886232,0.0003710789876812801,6270.818078420478,14
6,9,1,32.3,5800000,0.00046483052861142526,12704.449625708348,8
2,12,1,63.5,10960100,0.0009755093336249015,12031.044755589239,7
4,7,1,47.4,14900000,0.0012376025448930334,3558.1361196457965,2
2,12,1,32.4,9150796,0.0003710789876812801,6270.818078420478,14
6,16,1,38.8,6150000,0.00034411448784171664,11675.836942782886,13
2,5,1,41.29,9207670,0.0004040844495318558,13073.080330525087,6
12,29,1,39.4,8360000,0.0008501093587263661,12434.760083044303,6
5,5,1,31.0,5900000,0.0016607282011580466,6283.552488268961,10
15,15,1,32.03,10025390,0.0002374534952760344,4178.483754247512,4
7,13,1,45.3,7790000,0.0010499880107018857,10961.438377411841,15
11,17,1,38.6,7590000,0.0010312473873042957,7989.304695674037,15
3,9,1,43.0,16600000,0.00029617947730836583,3296.8224665466396,4
3,25,1,39.04,10090307,0.0022092997571388586,6516.88336096182,9
12,14,1,39.8,15950000,0.0007964301837182361,4959.245931056914,9
3,13,1,37.6,9317922,0.0002545638473059476,11649.043416710198,9
16,25,1,35.2,7600000,0.0003853215289736214,6399.4385385500045,8
18,24,1,35.5,6800000,0.0,20433.736543442858,6
23,25,1,37.07,7531446,0.00029589848733084566,12914.3343796289,9
2,5,1,30.4,3790000,0.0,17936.801930769005,16
9,14,1,45.77,9500000,0.00036045523331633547,6320.613088896074,4
11,12,1,45.51,13147839,0.00026808539679687833,11481.157584312961,9
6,24,1,33.8,6100000,0.00025259662274253295,13755.860814684214,15
10,13,1,34.55,7578888,0.0,12436.029890540683,9
4,4,1,33.9,16500000,0.0014365886077653098,2451.560723144385,2
2,15,1,36.9,10837530,0.0007119083617079709,8999.34609272824,15
12,22,1,37.9,9480000,0.0012293269111225491,8820.760432427494,8
18,26,1,39.98,7200000,0.0007713818775976856,14216.189822755665,6
3,9,1,32.7,6000000,0.0,15137.158379680386,13
6,8,1,54.4,29376000,0.0021384483396120297,3220.8379309852594,1
1,10,1,40.5,5100000,0.0,18105.935936579637,18
7,10,1,38.4,6600000,0.00042182653481261437,9519.239859600222,9
2,18,1,41.6,6250000,0.0,11803.088386018626,13
17,17,1,39.4,7299000,0.0008739890648217033,12586.436465201716,7
14,14,1,41.0,7450000,0.00037407069931236675,13243.258696182744,6
2,12,1,34.7,8241250,0.0006998423123496174,6344.425921978766,10
5,12,1,34.5,6300000,0.00020478291838683146,10436.841440518883,10
10,10,1,45.6,14000000,0.0007886877524659664,6315.784711731547,9
