author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298769328/;Санкт-Петербург;sale;flat;3;12;2;52.91;15950301;Невский;Невская застава;;Елизаровская;Астра Континенталь ЖК
МетрУМ;real_estate_agent;https://spb.cian.ru/sale/flat/289871014/;Санкт-Петербург;sale;flat;1;6;2;76.0;54999000;Петроградский;Петровский проспект;2с2;Спортивная;"Элитный комплекс ""ROYAL PARK"""
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294545152/;Санкт-Петербург;sale;flat;6;8;2;57.47;20143235;Петроградский;Петровский;;Чкаловская;Нева Резиденс ЖК
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/295652549/;Санкт-Петербург;sale;flat;7;10;2;60.0;27000000;Петроградский;Аптекарский проспект;18;Петроградская;Skandi Klubb
RBI;developer;https://spb.cian.ru/sale/flat/295855498/;Санкт-Петербург;sale;flat;5;16;2;57.5;14564624;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299243368/;Санкт-Петербург;sale;flat;5;6;2;86.1;50004000;Центральный;Захарьевская ;41;Чернышевская;
GloraX;developer;https://spb.cian.ru/sale/flat/292590423/;Санкт-Петербург;sale;flat;4;15;2;43.1;13129999;Красногвардейский;переулок Уткин;;;Апарт-отель GloraX Заневский
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/298588030/;Санкт-Петербург;sale;flat;4;8;2;65.77;26000000;Петроградский;Ремесленная ;17;Василеостровская;
Sun Development;developer;https://spb.cian.ru/sale/flat/293435884/;Санкт-Петербург;sale;flat;2;7;2;65.36;21061933;Василеостровский;11-я Васильевского острова линия;56;Василеостровская;Клубный дом Monodom Line
ID 101178389;homeowner;https://spb.cian.ru/sale/flat/285396474/;Санкт-Петербург;sale;flat;23;23;2;51.3;11400000;Невский; Славянская;8;Рыбацкое;Живи! в Рыбацком
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299465505/;Санкт-Петербург;sale;flat;2;12;2;59.2;19269600;Выборгский;Сампсониевское;;Выборгская;Сампсониевский 32
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/297470518/;Санкт-Петербург;sale;flat;7;7;2;94.5;39500000;Петроградский;Малая Разночинная ;10;;Биография
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297419301/;Санкт-Петербург;sale;flat;14;23;2;77.18;21533220;Московский;Гагаринское;;;Дефанс ЖК
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/298974299/;Санкт-Петербург;sale;flat;12;13;2;52.0;10990000;Приморский;проспект Авиаконструкторов;61;Комендантский проспект;Полис Приморский
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297419298/;Санкт-Петербург;sale;flat;14;23;2;75.62;21097980;Московский;Гагаринское;;;Дефанс ЖК
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/299283976/;Санкт-Петербург;sale;flat;7;14;2;58.0;21000000;Приморский;Белоостровская ;10к1;Лесная;ЦДС Черная речка
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297419295/;Санкт-Петербург;sale;flat;16;23;2;74.84;20543580;Московский;Гагаринское;;;Дефанс ЖК
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299568156/;Санкт-Петербург;sale;flat;7;8;2;107.7;53000000;Приморский;Приморский проспект;78к4;Беговая;
Лидер Групп;developer;https://spb.cian.ru/sale/flat/297419303/;Санкт-Петербург;sale;flat;15;23;2;83.15;23947200;Московский;Гагаринское;;;Дефанс ЖК
ЦН КВАДРАТ;real_estate_agent;https://spb.cian.ru/sale/flat/295684966/;Санкт-Петербург;sale;flat;3;5;2;48.4;9690000;Выборгский;Дрезденская ;4;Удельная;
GloraX;developer;https://spb.cian.ru/sale/flat/279351684/;Санкт-Петербург;sale;flat;10;14;2;58.17;19019999;Красногвардейский;проспект Энергетиков;2;;GloraX Заневский
Престиж;real_estate_agent;https://spb.cian.ru/sale/flat/293338134/;Санкт-Петербург;sale;flat;12;12;2;79.9;24000000;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;Modum
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299636365/;Санкт-Петербург;sale;flat;2;11;2;71.87;24359720;Красногвардейский; Стахановцев;1;Новочеркасская;Малоохтинский, 68
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/294216272/;Санкт-Петербург;sale;flat;3;8;2;79.6;42500000;Центральный;Кирочная ;31к2;Чернышевская;Радищева 39
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299451114/;Санкт-Петербург;sale;flat;3;23;2;124.4;40193640;Выборгский;аллея Академика Лихачева;7;Площадь Мужества;Институтский, 16
Огни Города;real_estate_agent;https://spb.cian.ru/sale/flat/297860705/;Санкт-Петербург;sale;flat;4;5;2;51.5;15500000;Василеостровский;Гаванская ;7;Василеостровская;
РСТИ;developer;https://spb.cian.ru/sale/flat/293496486/;Санкт-Петербург;sale;flat;6;8;2;68.9;29137942;Петроградский;Петровский проспект;22к2;Крестовский остров;Familia
Павел Пресняков;realtor;https://spb.cian.ru/sale/flat/298710770/;Санкт-Петербург;sale;flat;7;11;2;76.5;22500000;Василеостровский;набережная Реки Смоленки;3к2;Спортивная;Самоцветы
GloraX;developer;https://spb.cian.ru/sale/flat/299481464/;Санкт-Петербург;sale;flat;2;9;2;59.87;17009999;Адмиралтейский; Шкапина;43-45;Балтийская;GloraX Балтийская
Престиж;real_estate_agent;https://spb.cian.ru/sale/flat/297411594/;Санкт-Петербург;sale;flat;11;18;2;65.5;16600000;Василеостровский;Морская набережная;37к1Б;Приморская;
Сенатор;developer;https://spb.cian.ru/sale/flat/289388356/;Санкт-Петербург;sale;flat;5;12;2;46.0;16826400;Курортный;Приморское шоссе;570Л;;МФК Морская ривьера
Гранит Инвест;real_estate_agent;https://spb.cian.ru/sale/flat/299178610/;Санкт-Петербург;sale;flat;3;11;2;45.9;14458500;Приморский;Фермское шоссе;12Б;Удельная;
РСТИ;developer;https://spb.cian.ru/sale/flat/295858733/;Санкт-Петербург;sale;flat;2;9;2;49.64;11676359;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
Барокко;real_estate_agent;https://spb.cian.ru/sale/flat/291444345/;Санкт-Петербург;sale;flat;4;13;2;43.0;16200000;Василеостровский; Беринга;27к6;Приморская;Дом на Васильевском
Рикэл;developer;https://spb.cian.ru/sale/flat/292061881/;Санкт-Петербург;sale;flat;5;25;2;78.7;14402100;Калининский;Светлановский проспект;121к1;Гражданский проспект;Эврика
ID 113421366;homeowner;https://spb.cian.ru/sale/flat/298701825/;Санкт-Петербург;sale;flat;7;17;2;74.5;17890000;Василеостровский; Нахимова;20;Приморская;
ГлавстройСПб;developer;https://spb.cian.ru/sale/flat/297361093/;Санкт-Петербург;sale;flat;17;24;2;53.8;9221320;Приморский; Ивинская;19к1;Комендантский проспект;Юнтолово
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/298654211/;Санкт-Петербург;sale;flat;3;5;2;42.6;7990000;Московский;Благодатная ;29;Электросила;
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/273852684/;Санкт-Петербург;sale;flat;2;9;2;87.9;32399940;Петроградский; Малая Зеленина;;Чкаловская;Квадрия
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299243370/;Санкт-Петербург;sale;flat;2;7;2;69.9;20131000;Адмиралтейский;Галерная ;40;Адмиралтейская;Голландия
GloraX;developer;https://spb.cian.ru/sale/flat/286919314/;Санкт-Петербург;sale;flat;4;19;2;59.95;15599999;Василеостровский;Морской;;;Глоракс Премиум Василеостровский ЖК
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299568164/;Санкт-Петербург;sale;flat;3;3;2;81.9;45000000;Центральный;набережная Реки Фонтанки;47;;
AAG;developer;https://spb.cian.ru/sale/flat/298529997/;Санкт-Петербург;sale;flat;3;8;2;68.34;30076946;Петроградский;Пионерская ;53;Чкаловская;Avant
ID 34997390;unknown;https://spb.cian.ru/sale/flat/298484165/;Санкт-Петербург;sale;flat;3;11;2;77.0;43900000;Петроградский;Петровский проспект;11к3;Спортивная;Neva Haus
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296753925/;Санкт-Петербург;sale;flat;5;8;2;64.9;27160650;Петроградский;Петровский проспект;28к2;Крестовский остров;Grand View
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299243373/;Санкт-Петербург;sale;flat;4;8;2;70.0;32000000;Петроградский;Петровский проспект;22к2;Крестовский остров;Familia
